Index, ECG Value
0,422
1,418
2,407
3,421
4,423
5,406
6,417
7,417
8,405
9,413
10,419
11,403
12,418
13,411
14,402
15,416
16,402
17,414
18,418
19,405
20,421
21,413
22,401
23,419
24,408
25,420
26,416
27,403
28,419
29,412
30,406
31,415
32,410
33,413
34,409
35,400
36,412
37,395
38,414
39,401
40,421
41,412
42,431
43,422
44,441
45,439
46,465
47,473
48,484
49,495
50,503
51,529
52,537
53,562
54,556
55,579
56,564
57,580
58,564
59,579
60,561
61,565
62,549
63,551
64,540
65,541
66,522
67,509
68,508
69,480
70,490
71,464
72,472
73,448
74,455
75,435
76,444
77,425
78,437
79,423
80,433
81,426
82,422
83,426
84,415
85,430
86,411
87,427
88,412
89,426
90,411
91,418
92,408
93,424
94,406
95,424
96,414
97,418
98,418
99,410
100,423
101,407
102,419
103,418
104,411
105,424
106,408
107,420
108,425
109,410
110,422
111,414
112,420
113,427
114,414
115,424
116,425
117,414
118,433
119,414
120,431
121,430
122,417
123,433
124,430
125,420
126,435
127,419
128,480
129,430
130,417
131,431
132,419
133,433
134,437
135,423
136,436
137,428
138,428
139,439
140,424
141,440
142,435
143,426
144,441
145,425
146,439
147,444
148,430
149,443
150,434
151,432
152,445
153,430
154,445
155,442
156,431
157,443
158,434
159,442
160,451
161,435
162,444
163,441
164,437
165,452
166,436
167,447
168,446
169,435
170,453
171,433
172,452
173,452
174,437
175,453
176,443
177,439
178,454
179,437
180,452
181,448
182,435
183,449
184,434
185,449
186,452
187,437
188,449
189,444
190,436
191,451
192,432
193,444
194,443
195,429
196,447
197,430
198,437
199,447
200,429
201,440
202,433
203,430
204,439
205,420
206,433
207,431
208,417
209,433
210,416
211,427
212,430
213,413
214,420
215,418
216,409
217,427
218,410
219,425
220,420
221,412
222,423
223,410
224,418
225,420
226,403
227,464
228,411
229,399
230,416
231,400
232,414
233,412
234,399
235,407
236,400
237,407
238,415
239,401
240,412
241,409
242,400
243,416
244,399
245,410
246,412
247,399
248,413
249,400
250,404
251,413
252,399
253,410
254,407
255,395
256,410
257,398
258,409
259,411
260,398
261,405
262,398
263,401
264,411
265,396
266,404
267,407
268,394
269,413
270,394
271,411
272,409
273,397
274,410
275,398
276,397
277,408
278,394
279,408
280,403
281,391
282,407
283,391
284,409
285,406
286,392
287,401
288,399
289,395
290,406
291,393
292,402
293,401
294,390
295,405
296,388
297,399
298,403
299,388
300,402
301,394
302,401
303,404
304,389
305,399
306,397
307,385
308,400
309,385
310,402
311,403
312,390
313,400
314,395
315,400
316,404
317,389
318,403
319,398
320,387
321,407
322,395
323,401
324,408
325,392
326,450
327,397
328,393
329,407
330,393
331,407
332,405
333,393
334,405
335,392
336,404
337,410
338,394
339,405
340,399
341,395
342,410
343,397
344,407
345,405
346,401
347,412
348,392
349,455
350,408
351,393
352,405
353,397
354,402
355,403
356,429
357,394
358,392
359,378
360,389
361,376
362,386
363,392
364,375
365,381
366,376
367,367
368,382
369,365
370,381
371,375
372,364
373,379
374,360
375,369
376,377
377,370
378,375
379,366
380,355
381,371
382,355
383,371
384,366
385,352
386,362
387,354
388,361
389,368
390,352
391,362
392,360
393,350
394,366
395,349
396,359
397,359
398,343
399,355
400,340
401,352
402,354
403,341
404,352
405,354
406,347
407,367
408,365
409,377
410,385
411,381
412,404
413,406
414,422
415,447
416,446
417,474
418,488
419,486
420,512
421,502
422,513
423,511
424,494
425,551
426,483
427,479
428,482
429,456
430,460
431,445
432,424
433,427
434,401
435,405
436,399
437,378
438,379
439,373
440,368
441,367
442,350
443,354
444,353
445,341
446,357
447,338
448,355
449,350
450,335
451,347
452,337
453,333
454,346
455,331
456,340
457,339
458,327
459,339
460,326
461,340
462,342
463,327
464,336
465,331
466,329
467,341
468,326
469,339
470,344
471,328
472,342
473,325
474,337
475,341
476,328
477,342
478,331
479,328
480,340
481,326
482,343
483,336
484,324
485,337
486,328
487,342
488,343
489,330
490,339
491,333
492,333
493,344
494,329
495,340
496,339
497,330
498,346
499,329
500,345
501,351
502,332
503,344
504,336
