Index,TimeStamp,ECG Value
0,0:19:552,351
1,0:19:554,93
2,0:19:556,93
3,0:19:558,116
4,0:19:562,126
5,0:19:565,96
6,0:19:569,121
7,0:19:573,372
8,0:19:576,96
9,0:19:580,133
10,0:19:584,119
11,0:19:588,94
12,0:19:591,115
13,0:19:595,117
14,0:19:598,352
15,0:19:602,130
16,0:19:606,109
17,0:19:609,119
18,0:19:613,125
19,0:19:616,109
20,0:19:620,112
21,0:19:623,394
22,0:19:628,103
23,0:19:632,109
24,0:19:635,143
25,0:19:639,103
26,0:19:642,131
27,0:19:646,140
28,0:19:649,362
29,0:19:653,113
30,0:19:657,143
31,0:19:660,108
32,0:19:664,140
33,0:19:667,141
34,0:19:672,103
35,0:19:675,388
36,0:19:679,130
37,0:19:683,96
38,0:19:686,117
39,0:19:690,118
40,0:19:693,91
41,0:19:697,109
42,0:19:700,365
43,0:19:704,82
44,0:19:708,118
45,0:19:712,108
46,0:19:716,78
47,0:19:719,108
48,0:19:723,96
49,0:19:726,333
50,0:19:730,116
51,0:19:734,92
52,0:19:737,80
53,0:19:741,118
54,0:19:744,91
55,0:19:748,100
56,0:19:751,374
57,0:19:756,93
58,0:19:760,151
59,0:19:763,182
60,0:19:767,177
61,0:19:770,211
62,0:19:774,12
63,0:19:777,495
64,0:19:781,254
65,0:19:785,250
66,0:19:788,187
67,0:19:792,196
68,0:19:795,178
69,0:19:800,125
70,0:19:803,389
71,0:19:807,131
72,0:19:811,90
73,0:19:814,104
74,0:19:818,110
75,0:19:821,83
76,0:19:825,104
77,0:25:430,392
78,0:25:432,129
79,0:25:434,107
80,0:25:437,77
81,0:25:441,110
82,0:25:445,86
83,0:25:448,100
84,0:25:452,369
85,0:25:455,80
86,0:25:459,209
87,0:25:462,112
88,0:25:466,76
89,0:25:470,106
90,0:25:474,168
91,0:25:478,321
92,0:25:481,187
93,0:25:485,90
94,0:25:488,148
95,0:25:492,86
96,0:25:496,149
97,0:25:499,48
98,0:25:503,423
99,0:25:506,73
100,0:25:510,44
101,0:25:513,64
102,0:25:518,74
103,0:25:522,47
104,0:25:525,79
105,0:25:529,330
106,0:25:532,45
107,0:25:536,76
108,0:25:539,64
109,0:25:543,42
110,0:25:547,81
111,0:25:550,78
112,0:25:554,332
113,0:25:558,127
114,0:25:562,146
115,0:25:565,178
116,0:25:569,76
117,0:25:573,218
118,0:25:576,229
119,0:25:580,489
120,0:25:583,176
121,0:25:587,158
122,0:25:590,158
123,0:25:594,103
124,0:25:598,108
125,0:25:602,109
126,0:25:606,319
127,0:25:609,93
128,0:25:613,93
129,0:25:616,57
130,0:25:620,77
131,0:25:624,85
132,0:25:627,50
133,0:25:631,333
134,0:25:634,80
135,0:25:638,53
136,0:25:641,73
137,0:25:646,74
138,0:25:649,46
139,0:25:653,77
140,0:25:657,324
141,0:25:660,47
142,0:25:664,76
143,0:25:667,74
144,0:25:671,47
145,0:25:674,79
146,0:25:678,74
147,0:25:682,303
148,0:25:686,79
149,0:25:690,59
150,0:25:693,47
151,0:25:697,89
152,0:25:700,59
153,0:25:704,57
154,0:31:308,352
155,0:31:310,110
156,0:31:312,109
157,0:31:315,106
158,0:31:320,103
159,0:31:323,102
160,0:31:327,108
161,0:31:331,351
162,0:31:334,80
163,0:31:338,109
164,0:31:341,86
165,0:31:345,71
166,0:31:348,102
167,0:31:352,76
168,0:31:356,334
169,0:31:360,101
170,0:31:364,65
171,0:31:367,72
172,0:31:371,113
173,0:31:374,118
174,0:31:378,125
175,0:31:382,446
176,0:31:385,197
177,0:31:389,9
178,0:31:392,105
179,0:31:396,237
180,0:31:399,4
181,0:31:404,233
182,0:31:407,685
183,0:31:411,16
184,0:31:415,157
185,0:31:418,108
186,0:31:422,131
187,0:31:425,112
188,0:31:429,82
189,0:31:432,453
190,0:31:436,93
191,0:31:440,73
192,0:31:443,101
193,0:31:448,92
194,0:31:451,69
195,0:31:455,84
196,0:31:458,353
197,0:31:462,73
198,0:31:466,107
199,0:31:469,85
200,0:31:473,82
201,0:31:476,107
202,0:31:480,76
203,0:31:483,345
204,0:31:488,105
205,0:31:492,68
206,0:31:495,79
207,0:31:499,109
208,0:31:502,73
209,0:31:506,89
210,0:31:509,362
211,0:31:513,77
212,0:31:517,107
213,0:31:520,115
214,0:31:524,83
215,0:31:527,107
216,0:31:532,121
217,0:31:535,344
218,0:31:539,115
219,0:31:543,117
220,0:31:546,93
221,0:31:550,126
222,0:31:553,116
223,0:31:557,90
224,0:31:560,363
225,0:31:564,114
226,0:31:568,88
227,0:31:571,116
228,0:31:576,118
229,0:31:579,88
230,0:31:583,114
231,0:37:187,450
232,0:37:189,197
233,0:37:191,197
234,0:37:194,239
235,0:37:198,208
236,0:37:201,242
237,0:37:206,234
238,0:37:209,463
239,0:37:213,238
240,0:37:217,237
241,0:37:220,212
242,0:37:224,235
243,0:37:227,240
244,0:37:231,212
245,0:37:234,500
246,0:37:238,230
247,0:37:241,56
248,0:37:245,217
249,0:37:250,28
250,0:37:253,194
251,0:37:257,219
252,0:37:260,763
253,0:37:264,179
254,0:37:267,203
255,0:37:271,11
256,0:37:275,178
257,0:37:278,213
258,0:37:282,248
259,0:37:285,715
260,0:37:289,209
261,0:37:293,178
262,0:37:297,196
263,0:37:301,213
264,0:37:304,177
265,0:37:308,200
266,0:37:311,470
267,0:37:315,183
268,0:37:318,219
269,0:37:322,242
270,0:37:326,232
271,0:37:329,36
272,0:37:334,69
273,0:37:337,333
274,0:37:341,131
275,0:37:344,140
276,0:37:348,103
277,0:37:352,105
278,0:37:355,78
279,0:37:359,30
280,0:37:362,555
281,0:37:366,9
282,0:37:369,228
283,0:37:373,232
284,0:37:378,217
285,0:37:381,191
286,0:37:385,222
287,0:37:388,708
288,0:37:392,181
289,0:37:395,208
290,0:37:399,186
291,0:37:403,47
292,0:37:406,213
293,0:37:410,177
294,0:37:413,454
295,0:37:417,215
296,0:37:421,179
297,0:37:425,203
298,0:37:429,221
299,0:37:432,192
300,0:37:436,216
301,0:37:439,733
302,0:37:443,189
303,0:37:446,214
304,0:37:450,225
305,0:37:454,191
306,0:37:457,213
307,0:37:462,222
308,0:43:65,415
309,0:43:67,178
310,0:43:69,154
311,0:43:72,145
312,0:43:75,183
313,0:43:79,151
314,0:43:82,182
315,0:43:86,415
316,0:43:89,166
317,0:43:94,181
318,0:43:97,146
319,0:43:101,175
320,0:43:104,141
321,0:43:108,147
322,0:43:111,436
323,0:43:115,138
324,0:43:118,160
325,0:43:122,166
326,0:43:126,130
327,0:43:129,170
328,0:43:133,163
329,0:43:137,378
330,0:43:141,151
331,0:43:144,161
332,0:43:148,134
333,0:43:152,157
334,0:43:155,154
335,0:43:159,135
336,0:43:162,409
337,0:43:166,153
338,0:43:169,130
339,0:43:173,140
340,0:43:177,147
341,0:43:181,128
342,0:43:185,137
343,0:43:188,398
344,0:43:192,145
345,0:43:195,160
346,0:43:199,146
347,0:43:203,115
348,0:43:206,243
349,0:43:210,142
350,0:43:213,373
351,0:43:217,149
352,0:43:220,122
353,0:43:225,114
354,0:43:229,148
355,0:43:232,113
356,0:43:236,122
357,0:43:239,407
358,0:43:243,111
359,0:43:246,141
360,0:43:250,150
361,0:43:254,113
362,0:43:257,127
363,0:43:261,148
364,0:43:265,374
365,0:43:269,134
366,0:43:272,145
367,0:43:276,113
368,0:43:280,151
369,0:43:283,158
370,0:43:287,117
371,0:43:290,394
372,0:43:294,155
373,0:43:297,125
374,0:43:301,145
375,0:43:305,154
376,0:43:309,128
377,0:43:313,156
378,0:43:316,406
379,0:43:320,241
380,0:43:323,156
381,0:43:327,142
382,0:43:330,120
383,0:43:334,148
384,0:43:338,135
385,0:48:943,374
386,0:48:945,108
387,0:48:947,100
388,0:48:950,85
389,0:48:954,115
390,0:48:957,127
391,0:48:961,94
392,0:48:964,381
393,0:48:968,127
394,0:48:971,101
395,0:48:975,123
396,0:48:979,213
397,0:48:983,97
398,0:48:987,116
399,0:48:990,461
400,0:48:994,95
401,0:48:997,113
402,0:49:1,125
403,0:49:4,209
404,0:49:8,109
405,0:49:11,202
406,0:49:15,366
407,0:49:18,183
408,0:49:22,101
409,0:49:26,150
410,0:49:30,96
411,0:49:33,89
412,0:49:37,195
413,0:49:40,365
414,0:49:44,75
415,0:49:47,107
416,0:49:51,77
417,0:49:54,111
418,0:49:58,96
419,0:49:61,86
420,0:49:64,371
421,0:49:69,81
422,0:49:72,116
423,0:49:76,92
424,0:49:79,115
425,0:49:83,103
426,0:49:86,104
427,0:49:90,381
428,0:49:93,88
429,0:49:97,119
430,0:49:100,165
431,0:49:104,105
432,0:49:107,127
433,0:49:112,87
434,0:49:116,364
435,0:49:119,120
436,0:49:123,87
437,0:49:126,120
438,0:49:130,119
439,0:49:133,85
440,0:49:137,104
441,0:49:141,376
442,0:49:144,90
443,0:49:148,122
444,0:49:152,110
445,0:49:156,91
446,0:49:159,118
447,0:49:163,116
448,0:49:167,343
449,0:49:170,128
450,0:49:174,114
451,0:49:177,94
452,0:49:181,118
453,0:49:184,106
454,0:49:188,99
455,0:49:192,391
456,0:49:196,109
457,0:49:200,100
458,0:49:203,132
459,0:49:207,96
460,0:49:210,111
461,0:49:214,136
462,0:54:818,351
463,0:54:820,112
464,0:54:822,106
465,0:54:825,84
466,0:54:830,118
467,0:54:833,113
468,0:54:837,83
469,0:54:840,372
470,0:54:844,114
471,0:54:847,86
472,0:54:851,118
473,0:54:855,113
474,0:54:858,88
475,0:54:862,109
